codigo;id_mun;ano;valor
1502004;30;2024;4134104.00
1501956;31;2014;364728.70
1501956;31;2015;781459.80
1501956;31;2016;1141912.11
1501956;31;2017;744605.89
1501956;31;2018;771717.51
1501956;31;2019;992456.61
1501956;31;2020;923033.10
1501956;31;2021;1271526.41
1501956;31;2022;2052768.00
1501956;31;2023;1724526.00
1501956;31;2024;2032854.00
1502103;32;2014;108073.81
1502103;32;2015;259110.90
1502103;32;2016;476559.20
1502103;32;2017;962502.70
1502103;32;2018;1163561.70
1502103;32;2019;1275325.20
1502103;32;2020;1390123.60
1502103;32;2021;1898470.00
1502103;32;2022;1952609.00
1502103;32;2023;2036159.00
1502103;32;2024;2334463.00
1502152;33;2014;362343.40
1502152;33;2015;816113.89
1502152;33;2016;1218930.70
1502152;33;2017;1230929.30
1502152;33;2018;1243622.49
1502152;33;2019;1341924.50
1502152;33;2020;1439767.10
1502152;33;2021;1753581.00
1502152;33;2022;3012761.00
1502152;33;2023;2944436.00
1502152;33;2024;3308326.00
1502202;34;2014;41856.94
1502202;34;2015;96169.67
1502202;34;2016;142431.60
1502202;34;2017;994547.70
1502202;34;2018;1059950.50
1502202;34;2019;1261542.00
1502202;34;2020;1381591.60
1502202;34;2021;1601912.00
1502202;34;2022;1702812.00
1502202;34;2023;1518770.20
1502202;34;2024;1735117.00
1502301;35;2014;156413.30
1502301;35;2015;328205.60
1502301;35;2016;458203.70
1502301;35;2017;997335.80
1502301;35;2018;1147496.91
1502301;35;2019;1322131.00
1502301;35;2020;1445982.70
1502301;35;2021;1658717.00
1502301;35;2022;1679365.00
1502301;35;2023;1697088.00
1502301;35;2024;1967803.00
1502400;36;2014;92974.86
1502400;36;2015;202125.50
1502400;36;2016;297370.40
1502400;36;2017;996861.70
1502400;36;2018;1079616.21
1502400;36;2019;1272463.70
1502400;36;2020;1347603.20
1502400;36;2021;1629513.00
1502400;36;2022;1550947.00
1502400;36;2023;1352258.40
1502400;36;2024;1635962.00
1502509;37;2014;326649.90
1502509;37;2015;715756.89
1502509;37;2016;1135380.19
1502509;37;2017;1070598.89
1502509;37;2018;1107615.99
1502509;37;2019;1216505.30
1502509;37;2020;1308551.00
1502509;37;2021;1587545.00
1502509;37;2022;2680465.00
1502509;37;2023;3452433.00
1502509;37;2024;4040317.00
1502608;38;2014;124685.85
1502608;38;2015;291328.70
1502608;38;2016;503172.70
1502608;38;2017;889609.32
1502608;38;2018;795095.60
1502608;38;2019;834425.00
1502608;38;2020;788319.70
1502608;38;2021;1037396.29
1502608;38;2022;1672047.00
1502608;38;2023;1743135.00
1502608;38;2024;1935475.00
1502707;39;2014;263617.70
1502707;39;2015;587717.90
1502707;39;2016;914031.89
1502707;39;2017;1230927.91
1502707;39;2018;1312225.90
1502707;39;2019;1568035.00
1502707;39;2020;1770632.00
1502707;39;2021;1928741.00
1502707;39;2022;1740662.00
1502707;39;2023;1846205.00
1502707;39;2024;1961825.00
1502756;40;2014;116550.61
1502756;40;2015;257466.30
1502756;40;2016;383114.10
1502756;40;2017;997600.01
1502756;40;2018;1079120.21
1502756;40;2019;1257729.40
1502756;40;2020;1354574.40
1502756;40;2021;1722759.00
1502756;40;2022;1945125.00
1502756;40;2023;1534231.60
1502756;40;2024;1832279.00
1502764;41;2014;450616.20
1502764;41;2015;956889.91
1502764;41;2016;1402942.00
1502764;41;2017;1905327.00
1502764;41;2018;1951895.00
1502764;41;2019;2286057.00
1502764;41;2020;2483860.00
1502764;41;2021;2356557.00
1502764;41;2022;2328907.00
1502764;41;2023;2366486.00
1502764;41;2024;3097629.00
1502772;42;2014;217081.20
1502772;42;2015;464396.21
1502772;42;2016;615115.10
1502772;42;2017;1230927.91
1502772;42;2018;1221733.10
1502772;42;2019;1438020.00
1502772;42;2020;1568184.60
1502772;42;2021;1629614.00
1502772;42;2022;1739962.00
1502772;42;2023;1860054.00
1502772;42;2024;2223225.00
1502806;43;2014;270401.70
1502806;43;2015;588875.00
1502806;43;2016;1091000.81
1502806;43;2017;1499640.00
1502806;43;2018;1307155.70
1502806;43;2019;1296368.70
1502806;43;2020;1394572.30
1502806;43;2021;1956949.00
1502806;43;2022;2959955.00
1502806;43;2023;3199637.00
1502806;43;2024;3738598.00
1502855;44;2014;295677.80
1502855;44;2015;645375.10
1502855;44;2016;592227.00
1502855;44;2017;1230929.20
1502855;44;2018;794712.09
1502855;44;2019;956380.30
1502855;44;2020;1068245.71
1502855;44;2021;1186874.60
1502855;44;2022;2053648.00
1502855;44;2023;1939369.00
1502855;44;2024;2418183.00
1502905;45;2014;179379.10
